data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"26/08/2024";"04:15:20";"40";"Com vítima";"734,900";"BR-40/MG";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"26/08/2024";"07:13:00";"57";"Com vítima";"740,547";"BR-40/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"27/08/2024";"03:06:15";"14";"Com vítima";"710,300";"BR-40/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"27/08/2024";"04:44:55";"25";"Sem vítima";"735,500";"BR-40/MG";"Decrescente";"Queda de moto";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"27/08/2024";"08:10:05";"43";"Com vítima";"598,100";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"27/08/2024";"09:47:16";"47";"Com vítima";"547,700";"BR-40/MG";"Decrescente";"Tombamento";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"27/08/2024";"10:26:39";"51";"Sem vítima";"607,200";"BR-40/MG";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/08/2024";"12:34:02";"9";"Com vítima";"617,500";"BR-40/MG";"Decrescente";"Atropelamento de pedestre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29/08/2024";"02:43:22";"12";"Sem vítima";"576,500";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"29/08/2024";"03:09:37";"14";"Sem vítima";"741,200";"BR-40/MG";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/08/2024";"03:25:52";"16";"Sem vítima";"731,100";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/08/2024";"02:14:47";"61";"Com vítima";"704,347";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"30/08/2024";"04:24:03";"24";"Com vítima";"660,010";"BR-40/MG";"Crescente";"Choque";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"30/08/2024";"06:14:33";"37";"Com vítima";"668,139";"BR-40/MG";"Crescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"30/08/2024";"07:40:58";"42";"Sem vítima";"549,802";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"30/08/2024";"05:53:42";"93";"Com vítima";"662,450";"BR-40/MG";"Crescente";"Colisão transversal";1;0;1;0;0;0;0;0;0;0;2;1;0;0;0
"31/08/2024";"02:26:36";"14";"Com vítima";"544,100";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";3;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"31/08/2024";"06:59:22";"26";"Sem vítima";"597,950";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"31/08/2024";"05:56:46";"90";"Sem vítima";"618,250";"BR-40/MG";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"01/09/2024";"06:10:35";"36";"Sem vítima";"738,450";"BR-40/MG";"Crescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"01/09/2024";"07:20:25";"38";"Com vítima";"576,200";"BR-40/MG";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
"01/09/2024";"12:39:59";"59";"Sem vítima";"586,100";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"02/09/2024";"02:58:31";"11";"Com vítima";"649,600";"BR-40/MG";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/09/2024";"06:49:48";"34";"Com vítima";"668,500";"BR-40/MG";"Decrescente";"Atropelamento de pedestre";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"02/09/2024";"07:28:42";"38";"Sem vítima";"615,300";"BR-40/MG";"Decrescente";"Engavetamento";1;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"02/09/2024";"08:48:11";"46";"Sem vítima";"730,908";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/09/2024";"11:36:54";"61";"Com vítima";"593,400";"BR-40/MG";"Decrescente";"Colisão frontal";0;0;2;0;0;0;0;0;0;0;1;0;1;0;0
"03/09/2024";"04:38:01";"25";"Sem vítima";"763,369";"BR-40/MG";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/09/2024";"05:07:33";"30";"Sem vítima";"755,360";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/09/2024";"08:01:06";"40";"Sem vítima";"756,300";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"03/09/2024";"01:07:25";"63";"Com vítima";"624,677";"BR-40/MG";"Decrescente";"Colisão frontal";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"04/09/2024";"02:28:00";"12";"Com vítima";"689,050";"BR-40/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"04/09/2024";"09:07:03";"41";"Sem vítima";"551,500";"BR-40/MG";"Decrescente";"Colisão traseira";4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"04/09/2024";"10:20:59";"44";"Sem vítima";"633,250";"BR-40/MG";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"04/09/2024";"02:52:00";"56";"Com vítima";"547,500";"BR-40/MG";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"04/09/2024";"11:32:28";"4";"Sem vítima";"657,000";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/09/2024";"10:48:26";"3";"Sem vítima";"570,290";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"06/09/2024";"04:51:21";"22";"Com vítima";"606,605";"BR-40/MG";"Decrescente";"Colisão transversal";0;0;1;0;1;0;0;0;0;0;1;0;1;0;0
"06/09/2024";"07:57:54";"42";"Com vítima";"756,370";"BR-40/MG";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"06/09/2024";"11:05:06";"60";"Sem vítima";"594,800";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"06/09/2024";"02:34:46";"81";"Com vítima";"545,500";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"08/09/2024";"03:28:31";"20";"Sem vítima";"648,900";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/09/2024";"09:28:35";"41";"Com vítima";"563,050";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";2;1;0;0;0;0;0;0;0;0;0;2;0;0;0
"08/09/2024";"11:38:57";"48";"Com vítima";"593,800";"BR-40/MG";"Crescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;1;0;0;1;0
"08/09/2024";"01:03:23";"57";"Sem vítima";"666,900";"BR-40/MG";"Decrescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/09/2024";"01:42:13";"61";"Com vítima";"727,360";"BR-40/MG";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"08/09/2024";"03:36:12";"78";"Sem vítima";"557,100";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/09/2024";"03:54:33";"80";"Sem vítima";"559,200";"BR-40/MG";"Crescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"09/09/2024";"06:40:14";"37";"Sem vítima";"544,200";"BR-40/MG";"Decrescente";"Queda de moto";1;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"09/09/2024";"08:53:31";"107";"Sem vítima";"674,140";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/09/2024";"06:36:36";"36";"Sem vítima";"576,750";"BR-40/MG";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/09/2024";"06:40:29";"37";"Sem vítima";"609,990";"BR-40/MG";"Decrescente";"Colisão transversal";1;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"10/09/2024";"12:57:59";"59";"Sem vítima";"709,500";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"11/09/2024";"09:56:40";"4";"Com vítima";"587,710";"BR-40/MG";"Crescente";"Colisão traseira";0;0;2;0;1;0;0;0;0;0;2;1;0;0;0
"13/09/2024";"02:51:39";"16";"Sem vítima";"617,500";"BR-40/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"13/09/2024";"03:08:09";"17";"Com vítima";"618,800";"BR-40/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"13/09/2024";"05:55:06";"33";"Sem vítima";"660,830";"BR-40/MG";"Crescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"13/09/2024";"06:29:24";"36";"Sem vítima";"548,450";"BR-40/MG";"Crescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"13/09/2024";"07:14:43";"39";"Sem vítima";"547,200";"BR-40/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
